customer_id,name,email,signup_date,location,age,customer_segment
1,Customer_1,user1@email.com,2023-01-01,Birmingham,34,Premium
2,Customer_2,user2@email.com,2023-01-02,Edinburgh,26,Basic
3,Customer_3,user3@email.com,2023-01-03,London,50,Standard
4,Customer_4,user4@email.com,2023-01-04,Birmingham,37,Premium
5,Customer_5,user5@email.com,2023-01-05,Birmingham,30,Basic
6,Customer_6,user6@email.com,2023-01-06,Edinburgh,45,Basic
7,Customer_7,user7@email.com,2023-01-07,London,65,Basic
8,Customer_8,user8@email.com,2023-01-08,London,46,Basic
9,Customer_9,user9@email.com,2023-01-09,Birmingham,30,Standard
10,Customer_10,user10@email.com,2023-01-10,Manchester,63,Standard
11,Customer_11,user11@email.com,2023-01-11,Birmingham,52,Premium
12,Customer_12,user12@email.com,2023-01-12,Birmingham,23,Standard
13,Customer_13,user13@email.com,2023-01-13,Birmingham,35,Standard
14,Customer_14,user14@email.com,2023-01-14,Birmingham,68,Standard
15,Customer_15,user15@email.com,2023-01-15,Edinburgh,22,Basic
16,Customer_16,user16@email.com,2023-01-16,London,64,Standard
17,Customer_17,user17@email.com,2023-01-17,Edinburgh,42,Premium
18,Customer_18,user18@email.com,2023-01-18,Edinburgh,19,Standard
19,Customer_19,user19@email.com,2023-01-19,Edinburgh,27,Standard
20,Customer_20,user20@email.com,2023-01-20,Birmingham,47,Premium
21,Customer_21,user21@email.com,2023-01-21,Manchester,67,Basic
22,Customer_22,user22@email.com,2023-01-22,London,62,Standard
23,Customer_23,user23@email.com,2023-01-23,Manchester,22,Standard
24,Customer_24,user24@email.com,2023-01-24,Edinburgh,50,Standard
25,Customer_25,user25@email.com,2023-01-25,Edinburgh,18,Basic
26,Customer_26,user26@email.com,2023-01-26,Manchester,35,Standard
27,Customer_27,user27@email.com,2023-01-27,Manchester,49,Standard
28,Customer_28,user28@email.com,2023-01-28,Manchester,64,Standard
29,Customer_29,user29@email.com,2023-01-29,Edinburgh,66,Standard
30,Customer_30,user30@email.com,2023-01-30,Edinburgh,28,Basic
31,Customer_31,user31@email.com,2023-01-31,London,38,Basic
32,Customer_32,user32@email.com,2023-02-01,London,43,Standard
33,Customer_33,user33@email.com,2023-02-02,Edinburgh,42,Basic
34,Customer_34,user34@email.com,2023-02-03,Manchester,39,Basic
35,Customer_35,user35@email.com,2023-02-04,Manchester,44,Basic
36,Customer_36,user36@email.com,2023-02-05,London,66,Basic
37,Customer_37,user37@email.com,2023-02-06,Edinburgh,30,Standard
38,Customer_38,user38@email.com,2023-02-07,London,50,Standard
39,Customer_39,user39@email.com,2023-02-08,London,51,Standard
40,Customer_40,user40@email.com,2023-02-09,Birmingham,58,Basic
41,Customer_41,user41@email.com,2023-02-10,Birmingham,52,Premium
42,Customer_42,user42@email.com,2023-02-11,Birmingham,18,Basic
43,Customer_43,user43@email.com,2023-02-12,Manchester,38,Basic
44,Customer_44,user44@email.com,2023-02-13,Edinburgh,65,Premium
45,Customer_45,user45@email.com,2023-02-14,Edinburgh,23,Basic
46,Customer_46,user46@email.com,2023-02-15,Edinburgh,45,Premium
47,Customer_47,user47@email.com,2023-02-16,Edinburgh,34,Standard
48,Customer_48,user48@email.com,2023-02-17,Birmingham,22,Basic
49,Customer_49,user49@email.com,2023-02-18,Manchester,48,Premium
50,Customer_50,user50@email.com,2023-02-19,Manchester,22,Basic
51,Customer_51,user51@email.com,2023-02-20,Birmingham,55,Basic
52,Customer_52,user52@email.com,2023-02-21,Manchester,20,Standard
53,Customer_53,user53@email.com,2023-02-22,Birmingham,40,Premium
54,Customer_54,user54@email.com,2023-02-23,Edinburgh,54,Standard
55,Customer_55,user55@email.com,2023-02-24,Birmingham,54,Standard
56,Customer_56,user56@email.com,2023-02-25,Edinburgh,27,Basic
57,Customer_57,user57@email.com,2023-02-26,Edinburgh,27,Standard
58,Customer_58,user58@email.com,2023-02-27,London,36,Standard
59,Customer_59,user59@email.com,2023-02-28,Birmingham,34,Standard
60,Customer_60,user60@email.com,2023-03-01,London,38,Standard
61,Customer_61,user61@email.com,2023-03-02,Birmingham,31,Basic
62,Customer_62,user62@email.com,2023-03-03,Birmingham,26,Premium
63,Customer_63,user63@email.com,2023-03-04,London,63,Basic
64,Customer_64,user64@email.com,2023-03-05,London,18,Standard
65,Customer_65,user65@email.com,2023-03-06,Birmingham,68,Basic
66,Customer_66,user66@email.com,2023-03-07,Manchester,62,Standard
67,Customer_67,user67@email.com,2023-03-08,Edinburgh,30,Standard
68,Customer_68,user68@email.com,2023-03-09,London,21,Basic
69,Customer_69,user69@email.com,2023-03-10,Edinburgh,18,Premium
70,Customer_70,user70@email.com,2023-03-11,Manchester,66,Basic
71,Customer_71,user71@email.com,2023-03-12,Manchester,57,Standard
72,Customer_72,user72@email.com,2023-03-13,Manchester,49,Premium
73,Customer_73,user73@email.com,2023-03-14,London,51,Standard
74,Customer_74,user74@email.com,2023-03-15,Manchester,45,Basic
75,Customer_75,user75@email.com,2023-03-16,London,48,Premium
76,Customer_76,user76@email.com,2023-03-17,Manchester,25,Standard
77,Customer_77,user77@email.com,2023-03-18,Edinburgh,56,Standard
78,Customer_78,user78@email.com,2023-03-19,Edinburgh,43,Standard
79,Customer_79,user79@email.com,2023-03-20,Birmingham,51,Premium
80,Customer_80,user80@email.com,2023-03-21,Edinburgh,20,Basic
81,Customer_81,user81@email.com,2023-03-22,Birmingham,67,Basic
82,Customer_82,user82@email.com,2023-03-23,Edinburgh,29,Basic
83,Customer_83,user83@email.com,2023-03-24,London,18,Basic
84,Customer_84,user84@email.com,2023-03-25,Edinburgh,61,Premium
85,Customer_85,user85@email.com,2023-03-26,Birmingham,22,Basic
86,Customer_86,user86@email.com,2023-03-27,Birmingham,47,Premium
87,Customer_87,user87@email.com,2023-03-28,Manchester,47,Premium
88,Customer_88,user88@email.com,2023-03-29,London,34,Standard
89,Customer_89,user89@email.com,2023-03-30,Edinburgh,65,Standard
90,Customer_90,user90@email.com,2023-03-31,Manchester,64,Basic
91,Customer_91,user91@email.com,2023-04-01,Edinburgh,40,Standard
92,Customer_92,user92@email.com,2023-04-02,Edinburgh,32,Standard
93,Customer_93,user93@email.com,2023-04-03,Manchester,54,Standard
94,Customer_94,user94@email.com,2023-04-04,Manchester,38,Basic
95,Customer_95,user95@email.com,2023-04-05,Manchester,31,Standard
96,Customer_96,user96@email.com,2023-04-06,Manchester,19,Standard
97,Customer_97,user97@email.com,2023-04-07,Manchester,28,Premium
98,Customer_98,user98@email.com,2023-04-08,Edinburgh,68,Basic
99,Customer_99,user99@email.com,2023-04-09,Manchester,56,Standard
100,Customer_100,user100@email.com,2023-04-10,London,55,Standard
101,Customer_101,user101@email.com,2023-04-11,Birmingham,51,Premium
102,Customer_102,user102@email.com,2023-04-12,Manchester,55,Standard
103,Customer_103,user103@email.com,2023-04-13,Manchester,67,Standard
104,Customer_104,user104@email.com,2023-04-14,Edinburgh,51,Standard
105,Customer_105,user105@email.com,2023-04-15,Manchester,35,Basic
106,Customer_106,user106@email.com,2023-04-16,Manchester,47,Premium
107,Customer_107,user107@email.com,2023-04-17,Manchester,32,Standard
108,Customer_108,user108@email.com,2023-04-18,Edinburgh,44,Basic
109,Customer_109,user109@email.com,2023-04-19,Manchester,68,Standard
110,Customer_110,user110@email.com,2023-04-20,Birmingham,51,Standard
111,Customer_111,user111@email.com,2023-04-21,Edinburgh,69,Standard
112,Customer_112,user112@email.com,2023-04-22,Birmingham,55,Standard
113,Customer_113,user113@email.com,2023-04-23,Edinburgh,50,Basic
114,Customer_114,user114@email.com,2023-04-24,Manchester,41,Standard
115,Customer_115,user115@email.com,2023-04-25,Birmingham,32,Basic
116,Customer_116,user116@email.com,2023-04-26,Edinburgh,47,Standard
117,Customer_117,user117@email.com,2023-04-27,London,59,Standard
118,Customer_118,user118@email.com,2023-04-28,Manchester,68,Premium
119,Customer_119,user119@email.com,2023-04-29,Edinburgh,34,Standard
120,Customer_120,user120@email.com,2023-04-30,London,22,Standard
121,Customer_121,user121@email.com,2023-05-01,Edinburgh,46,Basic
122,Customer_122,user122@email.com,2023-05-02,London,21,Standard
123,Customer_123,user123@email.com,2023-05-03,Manchester,27,Basic
124,Customer_124,user124@email.com,2023-05-04,Birmingham,34,Premium
125,Customer_125,user125@email.com,2023-05-05,London,27,Basic
126,Customer_126,user126@email.com,2023-05-06,Edinburgh,34,Basic
127,Customer_127,user127@email.com,2023-05-07,Manchester,37,Basic
128,Customer_128,user128@email.com,2023-05-08,London,41,Basic
